id,分类,有图,图片编号,适用地区,标题模板,摘要,正文,现象总结,趋势预测,正文末尾提示,默认方向,可选方向,默认强度,可选强度,反向逻辑说明,底层接口参数,备注
NEWS_MOVE_001,盘面异动,是,IMG_GENERIC_MOVE_001|IMG_GENERIC_MOVE_002|IMG_GENERIC_MOVE_003,全球|漂亮国|樱花国|袋鼠国|鸥联盟,{region}相关货币盘中剧烈拉扯，短线资金博弈明显升温,多空资金激烈博弈，盘中波动急剧放大,{time_text}，盘面突然放量，交易员提到短线止损与追价资金同时出现。走势看上去很激烈，但这类异动未必代表中期方向已经确认，更可能只是情绪在短时间内集中释放。 若后续资金继续追着同一方向打，波动可能进一步放大；若买卖盘很快回归平衡，这次异动也可能只是一次脉冲。 盘面类新闻更该关注波动有没有继续扩散，以及市场流动性是否明显变紧。,{time_text}，盘面突然放量，交易员提到短线止损与追价资金同时出现。走势看上去很激烈，但这类异动未必代表中期方向已经确认，更可能只是情绪在短时间内集中释放。,若后续资金继续追着同一方向打，波动可能进一步放大；若买卖盘很快回归平衡，这次异动也可能只是一次脉冲。,盘面类新闻更该关注波动有没有继续扩散，以及市场流动性是否明显变紧。,放大,放大|拉锯|震荡,明显,普通|明显|剧烈,若追价和止损很快出清，方向也可能从放大转成快速收敛。,volatility_spike|liquidity_tighten,跳水|急拉|止损盘
NEWS_MOVE_002,盘面异动,是,IMG_GENERIC_MOVE_002|IMG_GENERIC_MOVE_003,全球|漂亮国|鸥联盟|袋鼠国,{region}相关货币买卖盘突然失衡，短线价格出现快速偏移,挂单厚度骤降，价格瞬间偏离平衡位,{time_text}，盘中挂单厚度明显变薄，几笔集中成交就把价格推离了原先的平衡位置。这样的行情未必代表基本面立刻生变，但会让短线交易难度明显抬高。 若流动性迟迟恢复不过来，后续价格仍可能继续放大摆动；若更大规模的对手盘及时出现，异动也可能很快被修正。 这种盘面消息要盯的重点，是市场深度有没有恢复，以及短线波动会不会持续超出平常节奏。,{time_text}，盘中挂单厚度明显变薄，几笔集中成交就把价格推离了原先的平衡位置。这样的行情未必代表基本面立刻生变，但会让短线交易难度明显抬高。,若流动性迟迟恢复不过来，后续价格仍可能继续放大摆动；若更大规模的对手盘及时出现，异动也可能很快被修正。,这种盘面消息要盯的重点，是市场深度有没有恢复，以及短线波动会不会持续超出平常节奏。,偏移,偏移|放大|拉锯,明显,普通|明显|剧烈,若对手盘很快补位，短线偏移可能迅速被修正，方向会从放大改成拉锯或收敛。,liquidity_tighten|volatility_up_small,挂单变薄|流动性收紧|快速偏移
NEWS_POLICY_005,货币政策,是,IMG_GENERIC_POLICY_002,漂亮国|鸥联盟|樱花国|袋鼠国|枫叶国|珍珠国,议息结果落地，市场重新校准对{region}的利率预期,议息落地市场重估利率路径，短线调整开启,{time_text}，{region}最新议息结果出炉，市场迅速开始重新评估后续利率走向。汇率短线可能出现一轮快速调整，但更关键的是接下来的官员口风会不会延续当前信号。 若会议传递出更清晰的政策方向，相关货币容易走出单边试探；若信号模棱两可，盘面可能继续反复拉扯。 议息落地后重点要看市场对下一步利率的判断是变得更一致还是更加分歧。,{time_text}，{region}最新议息结果出炉，市场迅速开始重新评估后续利率走向。汇率短线可能出现一轮快速调整，但更关键的是接下来的官员口风会不会延续当前信号。,若会议传递出更清晰的政策方向，相关货币容易走出单边试探；若信号模棱两可，盘面可能继续反复拉扯。,议息落地后重点要看市场对下一步利率的判断是变得更一致还是更加分歧。,震荡,震荡|偏强|偏弱,普通,轻微|普通|明显,若会议结果完全符合预期且无新增信号，市场可能迅速消化，方向停留在震荡而非突破。,rate_diff_shift|expectation_recalibrate,议息落地|利率预期|会后调整
NEWS_POLICY_006,货币政策,是,IMG_GENERIC_POLICY_004,漂亮国|鸥联盟|樱花国|袋鼠国,{region}央行内部出现政策分歧，市场对利率走向产生猜测,央行内部鹰鸽分化，利率预期陷入拉锯,{time_text}，{region}央行高层近期表态出现明显温差——有人偏向继续收紧，有人开始提示经济风险。市场暂时找不到统一参照，短线更容易在预期拉锯中来回摆动。 若鹰派声音继续占上风，相关货币可能重新获得支撑；若鸽派阵营扩大，市场会更快转向宽松押注。 官员分歧类消息最重要的是看谁的声音更有后续动作支撑，以及市场的定价偏向哪一侧。,{time_text}，{region}央行高层近期表态出现明显温差——有人偏向继续收紧，有人开始提示经济风险。市场暂时找不到统一参照，短线更容易在预期拉锯中来回摆动。,若鹰派声音继续占上风，相关货币可能重新获得支撑；若鸽派阵营扩大，市场会更快转向宽松押注。,官员分歧类消息最重要的是看谁的声音更有后续动作支撑，以及市场的定价偏向哪一侧。,震荡,震荡|分化|走稳,普通,轻微|普通|明显,若后续官员表态快速统一，分歧状态可能迅速转为一致押注，方向从震荡转成偏强或偏弱。,policy_split|expectation_hold,官员分歧|鹰鸽分化|政策预期
NEWS_EXPECT_005,市场预期,是,IMG_GENERIC_EXPECT_003,全球|漂亮国|鸥联盟|樱花国|熊猫国,市场对{region}方向把握不清，多数交易员选择按兵不动,消息面缺乏指引，多空双方均选择观望,{time_text}，最新消息面缺乏明确指引，交易席位的方向判断十分分散。相关货币的成交量明显收缩，价格在相对狭窄的区间里来回试探——多数人在等下一个能打破僵局的信号。 若新增消息打破当前僵局，汇率可能迅速朝突破方向移动一小段；若持续无催化，盘面可能继续维持这种低波动观望状态。 这种时候最该看的不是价格本身，而是有没有新的催化把市场从观望中拽出来。,{time_text}，最新消息面缺乏明确指引，交易席位的方向判断十分分散。相关货币的成交量明显收缩，价格在相对狭窄的区间里来回试探——多数人在等下一个能打破僵局的信号。,若新增消息打破当前僵局，汇率可能迅速朝突破方向移动一小段；若持续无催化，盘面可能继续维持这种低波动观望状态。,这种时候最该看的不是价格本身，而是有没有新的催化把市场从观望中拽出来。,等待,等待|震荡|收敛,轻微,轻微|普通,若突发放量或重要数据出现，观望状态会被迅速打破，方向取决于消息本身。,expectation_hold|volatility_hold,观望加重|等待催化|缩量
NEWS_EXPECT_006,市场预期,是,IMG_GENERIC_EXPECT_001,全球|漂亮国|袋鼠国|鸥联盟,大量资金一致押注{region}货币走强，市场出现拥挤信号,资金集体涌向同一方向，拥挤风险正在积累,{time_text}，几乎同一时间多家机构调高了对{region}货币的评价，追价资金快速涌向同一方向。这种局面短期能推动价格继续朝押注方向移动，但押注越拥挤，反转的风险也在悄悄积累。 若后续消息持续配合，一致押注可能继续推动走势；但一旦市场发现追过了头，反向修正也会来得很快。 一致押注最大的风险不是方向错了，而是方向对了但已经没有足够的人接力。,{time_text}，几乎同一时间多家机构调高了对{region}货币的评价，追价资金快速涌向同一方向。这种局面短期能推动价格继续朝押注方向移动，但押注越拥挤，反转的风险也在悄悄积累。,若后续消息持续配合，一致押注可能继续推动走势；但一旦市场发现追过了头，反向修正也会来得很快。,一致押注最大的风险不是方向错了，而是方向对了但已经没有足够的人接力。,偏强,偏强|回暖|走稳,明显,普通|明显|剧烈,若押注过于拥挤导致反转信号触发，方向可能从偏强快速转成回吐甚至踩踏。,sentiment_up|expectation_up,一致押注|拥挤交易|资金集中
NEWS_MOVE_005,盘面异动,是,IMG_GENERIC_MOVE_001,全球|漂亮国|樱花国|鸥联盟|熊猫国,快速偏离后出现技术性修正，{region}买卖盘重新试探方向,价格快速偏离后反向回摆，多空重新试探方向,{time_text}，价格在经历一轮快速偏移后开始出现反向回摆，部分短线获利资金选择离场，也有新资金趁机反向进场。这类修正更多是盘面的自我调整，不一定意味着原来的方向已经被推翻。 若修正力度温和、量能不大，原方向调整后可能继续延续；若修正放量且幅度很深，市场可能正在酝酿方向切换。 技术性修正的关键指标是修正过程中有没有新的大资金介入——有则可能转向，无则只是短暂歇脚。,{time_text}，价格在经历一轮快速偏移后开始出现反向回摆，部分短线获利资金选择离场，也有新资金趁机反向进场。这类修正更多是盘面的自我调整，不一定意味着原来的方向已经被推翻。,若修正力度温和、量能不大，原方向调整后可能继续延续；若修正放量且幅度很深，市场可能正在酝酿方向切换。,技术性修正的关键指标是修正过程中有没有新的大资金介入——有则可能转向，无则只是短暂歇脚。,修复,修复|震荡|偏移,普通,轻微|普通|明显,若修正只是昙花一现且资金继续追原方向，盘面可能很快恢复前期偏移状态。,volatility_spike|liquidity_tighten,技术性修正|获利了结|方向试探
NEWS_POLITICAL_004,时政风险,是,IMG_GENERIC_POLITICAL_002,漂亮国|鸥联盟|樱花国|熊猫国|全球,{region}紧张局势出现缓和信号，避险需求开始退潮,紧张局势降温，避险资金开始撤退,{time_text}，此前持续发酵的紧张局势出现松动迹象，市场对冲突扩大的担忧明显下降。资金开始从防御型资产回流，相关货币的压力也有所减轻。不过市场仍然保持一定警惕——局势反复已经不是第一次了。 若缓和信号继续兑现，避险资金可能进一步撤退，相关货币逐步企稳；若局势再度生变，避险回流也会很快恢复。 避险退潮行情的关键在于局势是否真的在降温，而不是只是口头上的让步。,{time_text}，此前持续发酵的紧张局势出现松动迹象，市场对冲突扩大的担忧明显下降。资金开始从防御型资产回流，相关货币的压力也有所减轻。不过市场仍然保持一定警惕——局势反复已经不是第一次了。,若缓和信号继续兑现，避险资金可能进一步撤退，相关货币逐步企稳；若局势再度生变，避险回流也会很快恢复。,避险退潮行情的关键在于局势是否真的在降温，而不是只是口头上的让步。,回暖,回暖|修复|走稳,普通,轻微|普通|明显,若市场认为缓和只是暂时姿态，避险需求可能只是阶段性收缩而非真正退潮。,sentiment_up_small|safe_haven_down_small,局势缓和|避险退潮|风险偏好回升
NEWS_TRADE_007,贸易与产业,是,IMG_GENERIC_TRADE_002,熊猫国|樱花国|鸥联盟|全球,产业链开始向外转移，{region}制造业格局面临调整,产业链外迁苗头出现，制造业优势面临考验,{time_text}，部分跨国企业开始调整区域布局，降低对{region}单一生产基地的依赖。市场开始重新评估{region}制造业的长期竞争力和出口潜力。汇率不会因为一条消息就迅速变脸，但这类结构调整往往需要被认真对待。 若转移趋势加快，相关货币的中期支撑会逐步削弱；若企业重新留驻或订单回流，这种担忧也会慢慢缓解。 产业链调整的影响不是一天两天能看到的，但资金会先走——市场一旦开始计价，方向就会慢慢形成。,{time_text}，部分跨国企业开始调整区域布局，降低对{region}单一生产基地的依赖。市场开始重新评估{region}制造业的长期竞争力和出口潜力。汇率不会因为一条消息就迅速变脸，但这类结构调整往往需要被认真对待。,若转移趋势加快，相关货币的中期支撑会逐步削弱；若企业重新留驻或订单回流，这种担忧也会慢慢缓解。,产业链调整的影响不是一天两天能看到的，但资金会先走——市场一旦开始计价，方向就会慢慢形成。,偏弱,偏弱|承压|震荡,普通,轻微|普通|明显,若转移被证实是小范围现象而非趋势，市场可能把它视作噪音，方向停留在震荡。,trade_bias_down_small|fair_value_drift,产业链转移|制造业|结构调整
NEWS_TRADE_008,贸易与产业,是,IMG_GENERIC_TRADE_003,袋鼠国|枫叶国|珍珠国|全球,大宗商品报价剧烈波动，{region}出口收入预期出现变数,商品价格大幅起落，出口收入稳定性受疑,{time_text}，能源与资源类商品近期大幅起落，市场对{region}出口收入稳定性的信任有所动摇。这种行情对汇率的影响通常不是直线的——涨了未必全部利好，跌了也不代表基本面立刻崩溃。 若商品价格继续大幅摆动，相关货币可能进入反复拉锯；若价格趋势逐渐明朗，市场也会重新找到方向。 商品报价波动大的时候，市场更关心的是这轮波动有没有基本面支撑，还是只是资金在炒作。,{time_text}，能源与资源类商品近期大幅起落，市场对{region}出口收入稳定性的信任有所动摇。这种行情对汇率的影响通常不是直线的——涨了未必全部利好，跌了也不代表基本面立刻崩溃。,若商品价格继续大幅摆动，相关货币可能进入反复拉锯；若价格趋势逐渐明朗，市场也会重新找到方向。,商品报价波动大的时候，市场更关心的是这轮波动有没有基本面支撑，还是只是资金在炒作。,震荡,震荡|偏强|承压,普通,轻微|普通|明显,若商品剧烈波动后迅速回稳，市场也可能把它当成短期噪音来处理。,trade_bias_shift|commodity_volatility,大宗商品|价格波动|出口收入
NEWS_MOVE_006,盘面异动,是,IMG_GENERIC_MOVE_002,全球|漂亮国|樱花国|鸥联盟|袋鼠国,尾盘突发放量转向，{region}相关货币异动引发关注,尾盘大单集中进场，短线方向突然逆转,{time_text}，临近收市时盘面突然放量，价格在短时间内走出明显方向。这类尾盘异动往往来自大单集中成交或止损集中触发，不一定是全天走势的延续，但短线赌性会被放大。 若异动方向与盘中趋势一致，后续惯性可能延续；若尾盘方向与全天相反，次日开盘往往会出现修正或延续激烈博弈。 尾盘异动最需要确认的是有没有消息配合——有消息可能是方向切换的开始，没消息可能只是大单调度。,{time_text}，临近收市时盘面突然放量，价格在短时间内走出明显方向。这类尾盘异动往往来自大单集中成交或止损集中触发，不一定是全天走势的延续，但短线赌性会被放大。,若异动方向与盘中趋势一致，后续惯性可能延续；若尾盘方向与全天相反，次日开盘往往会出现修正或延续激烈博弈。,尾盘异动最需要确认的是有没有消息配合——有消息可能是方向切换的开始，没消息可能只是大单调度。,放大,放大|偏移|拉锯,明显,普通|明显|剧烈,若尾盘异动被次日的修复行情消化，方向可能只是脉冲而非真正突破。,volatility_spike|liquidity_tighten,尾盘异动|放量转向|大单成交
